ingredient	quantity
Alette di pollo	800 g
Acqua	6 l
Carote	60 g
Sedano	25 g
Cipolle dorate	30 g
Prezzemolo (solo i gambi)	15 g
Sale grosso	18 g
Pepe nero in grani	8
Alloro piccola	1 foglia
Ossibuchi di vitello (4 da 400 g l'uno)	1,6 kg
Cipolle dorate	100 g
Olio extravergine d'oliva	80 g
Vino bianco	50 ml
Burro	30 g
Farina di grano saraceno	8 g
Rosmarino	5 g
Aglio	2 spicchi
Scorza di limone	1
Prezzemolo	10 g
Olio extravergine d'oliva	20 g
Riso Carnaroli	320 g
Cipolle dorate	50 g
Burro	65 g
Grana Padano DOP	45 g
Vino bianco	50 ml
Zafferano in pistilli	0,5 g
Acqua	200 ml
