ingredient	quantity
Riso Carnaroli	500 g
Zafferano	2 bustine
Burro	30 g
Cipolle dorate da tritare	1
Brodo vegetale	1 l
Vino bianco secco	200 ml
Olio extravergine d'oliva	q.b.
Sale fino	q.b.
Pepe nero	q.b.
Grana Padano DOP da grattugiare	120 g
Pisellini sgranati	250 g
Brodo vegetale	3 mestoli
Pancetta (tesa) (facoltativa)	1 fetta
Sale fino	q.b.
Pepe nero	q.b.
Noce moscata da grattugiare	q.b.
Olio extravergine d'oliva	q.b.
Provola	150 g
Pancetta (tesa) (20 fette sottili)	160 g
Zucchine (20 fette)	400 g
Grana Padano DOP da grattugiare	1 cucchiaio
Burro per imburrare	q.b.
