epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	3.5063130544579546	8.232517731875884	0.0	2.7598049441973367	20.185185185185183	8.333333333333334	0	0	0
2	2.4371127745379573	15.558450727414247	7.608695652173913	1.6493987540404003	27.293447293447297	16.666666666666668	0	0	0
3	1.2793645042440165	32.68889592653827	24.63768115942029	1.034802034497261	40.07063152896487	30.555555555555557	0	0	0
4	0.63027783450873	46.06045424955558	39.67391304347826	0.9578246474266052	50.48452126577127	39.583333333333336	0	0	0
5	0.3558829883518426	56.10302178473764	50.869565217391305	0.9614531869689623	58.39952177452178	46.666666666666664	0	0	0
6	0.22996545404843663	63.05686598003499	58.69565217391305	0.8307907854517301	61.49364909781577	50.0	0	0	0
7	0.1440764441276374	67.5847231958867	63.66459627329193	0.7962594081958135	63.363603988604005	52.38095238095238	0	0	0
8	0.10108027732728617	71.63663279640086	68.20652173913044	1.0282963812351227	65.58963734775402	54.166666666666664	0	0	0
9	0.08372368702017095	74.57498931149243	71.4975845410628	0.9243614400426546	67.55454536731574	55.55555555555556	0	0	0
10	0.05279436007992405	76.91900266767779	74.1304347826087	0.9722090984384218	68.91013352352343	56.666666666666664	0	0	0
