epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	2.974281227195656	20.516920223715985	7.6923076923076925	1.7110650487568067	61.52243072525244	52.17391304347826	0	0	0
2	1.326163242151449	38.25308036211734	27.47252747252747	1.0579214899436287	68.60311259582781	58.69565217391305	0	0	0
3	0.6200855320299065	51.44312169626415	42.857142857142854	0.9859517411045406	74.1412054986678	66.66666666666667	0	0	0
4	0.36342406624948587	60.75310701439243	53.57142857142857	1.0589676292046257	77.17875406266786	69.56521739130434	0	0	0
5	0.22472791356331373	67.07923108825945	60.65934065934066	1.20394959009212	77.94330039363217	70.43478260869566	0	0	0
6	0.15752791882502837	72.11251116765384	66.48351648351648	1.349856133694234	79.13180798534533	72.46376811594203	0	0	0
7	0.13369568699336315	75.41616603485976	70.48665620094191	1.3870861471995064	79.52498655472664	73.2919254658385	0	0	0
8	0.10464311658230784	78.03126982262684	73.62637362637362	1.279037128324094	80.08183677633761	73.91304347826087	0	0	0
9	0.06363936048768624	80.06523943533455	76.06837606837607	1.3130509723787722	80.71393835542702	74.8792270531401	0	0	0
10	0.0581852180709305	81.89467663211008	78.24175824175825	1.3497805491737698	81.6544022273942	76.08695652173913	0	0	0
