epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	3.0839038413503896	7.488903798972448	2.1739130434782608	0.8801157275835673	55.54971170328813	41.666666666666664	0	0	0
2	0.5133171473508296	42.94254813402747	35.869565217391305	0.17995121330022812	69.75898283577105	54.166666666666664	0	0	0
3	0.14149634823527024	61.18131971476971	55.79710144927536	0.07281592348590493	77.53773458892674	66.66666666666667	0	0	0
4	0.06769525419677729	70.88598978607727	66.84782608695652	0.07209395376654963	82.73663427502838	72.91666666666667	0	0	0
5	0.03752203965964525	76.44792226364443	73.04347826086956	0.04632830573245883	84.80835503907032	76.66666666666667	0	0	0
6	0.027442301588092487	80.37326855303702	77.53623188405797	0.039262693045505635	87.34029586589193	80.55555555555556	0	0	0
7	0.020140331572569583	82.896105373174	80.12422360248448	0.03352482667348037	89.14882502790736	83.33333333333333	0	0	0
8	0.01639913514499431	85.03409220152724	82.6086956521739	0.040397742132578664	90.50522189941894	85.41666666666667	0	0	0
9	0.00921507156580565	86.696970845802	84.54106280193237	0.03977552915845687	90.79300147673219	86.11111111111111	0	0	0
10	0.00832237392846171	88.0272737612218	86.08695652173913	0.042502328282959446	91.54703466239229	86.66666666666667	0	0	0
