epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	2.2671808168128296	35.853836084773945	26.373626373626372	0.36364523224208667	84.67908902691511	82.6086956521739	0	0	0
2	0.2511210682300421	61.218943477269555	52.747252747252745	0.11251168268854203	92.33954451345755	91.30434782608695	0	0	0
3	0.06259272145721448	73.47441164662902	67.3992673992674	0.10357854616544816	94.89302967563837	94.20289855072464	0	0	0
4	0.04235925589391327	79.58688321604626	74.72527472527473	0.08970134143980787	96.16977225672878	95.65217391304348	0	0	0
5	0.03066064202441619	83.5382092986826	79.34065934065934	0.08667032880981898	96.93581780538302	96.52173913043478	0	0	0
6	0.022992531697337445	86.22079102118543	82.6007326007326	0.07549098257795381	97.44651483781918	97.10144927536231	0	0	0
7	0.015223254466935952	88.13692082297318	84.92935635792779	0.10329606766184873	97.81129843241645	97.51552795031056	0	0	0
8	0.04128205776854244	89.61980572010154	86.81318681318682	0.10162979549141196	98.0848861283644	97.82608695652173	0	0	0
9	0.0427440194448886	90.67024768003444	87.91208791208791	0.08629612083883409	98.29767655854613	98.06763285024155	0	0	0
10	0.013070772298206166	91.55194086074894	89.01098901098901	0.07605734079381522	98.46790890269152	98.26086956521739	0	0	0
