epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	1.7272435821347185	53.243984503383	45.05494505494506	0.20724009754865066	97.82608695652173	95.65217391304348	0	0	0
2	0.15563654400162644	75.46204109174033	70.87912087912088	0.11047113269729458	98.91304347826087	97.82608695652173	0	0	0
3	0.06068264135251661	82.63199971846588	78.3882783882784	0.11496464643910852	99.27536231884058	98.55072463768116	0	0	0
4	0.039347273796530705	86.9434747583244	83.51648351648352	0.06847395873426096	99.45652173913044	98.91304347826087	0	0	0
5	0.022399800314675443	89.55477980665951	86.81318681318682	0.10721057985084252	99.56521739130434	99.1304347826087	0	0	0
6	0.009439694213202468	91.29564983888292	89.01098901098901	0.1155161476733907	99.6376811594203	99.27536231884058	0	0	0
7	0.008591164594291004	92.53912843332822	90.58084772370486	0.10844360320049379	99.68944099378882	99.37888198757764	0	0	0
8	0.013242701029182402	93.47173737916219	91.75824175824175	0.07152644739835523	99.72826086956522	99.45652173913044	0	0	0
9	0.02185425144917035	94.18353321235527	92.55189255189255	0.08527596046864662	99.7584541062802	99.51690821256038	0	0	0
10	0.016937466250005903	94.65528978122964	93.18681318681318	0.08941329939799565	99.78260869565217	99.56521739130434	0	0	0
