epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	3.2813270299331	14.28063867099784	4.3478260869565215	2.6814337174097695	0.0	0.0	0	0	0
2	2.041698221279227	23.094808149015563	11.956521739130435	1.402982418735822	43.293650793650805	33.333333333333336	0	0	0
3	0.9920428626887177	37.159563244709915	26.08695652173913	1.1488920152187347	56.640211640211646	50.0	0	0	0
4	0.5158995937798982	50.69575939005417	41.84782608695652	1.0979065373539925	65.3968253968254	60.416666666666664	0	0	0
5	0.31327580417627876	57.823547094200315	49.130434782608695	1.1539877106746037	70.65079365079366	66.66666666666667	0	0	0
6	0.21862164977937937	63.46406702294471	55.43478260869565	1.0984350716074307	74.15343915343915	70.83333333333333	0	0	0
7	0.1383018086299948	67.44124999482217	60.559006211180126	1.2327539970477421	76.65532879818595	73.80952380952381	0	0	0
8	0.09182095684556534	71.0717821512665	64.94565217391305	1.4121247828006744	79.5734126984127	77.08333333333333	0	0	0
9	0.07383079041787625	73.80293679146395	68.35748792270532	1.5343151539564133	80.91710758377424	78.70370370370371	0	0	0
10	0.06237121244244601	76.20525180796973	71.30434782608695	1.5321465730667114	81.99206349206348	80.0	0	0	0
