epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	2.7908057881438215	20.52877455623451	15.217391304347826	0.5938399309913317	68.88888888888887	50.0	0	0	0
2	0.33254144599904184	52.52111605658515	47.82608695652174	0.13959716291477284	83.84920634920634	70.83333333333333	0	0	0
3	0.07691852022569788	65.25562326477657	60.869565217391305	0.06926968707315002	89.04761904761905	77.77777777777777	0	0	0
4	0.04436060404607459	73.83302179640852	70.1086956521739	0.07773205218836665	91.48809523809523	81.25	0	0	0
5	0.03829691258421087	78.92148990089493	75.65217391304348	0.068867100829569	93.19047619047618	85.0	0	0	0
6	0.023582105357807293	82.31380197055252	79.34782608695652	0.04923742990164707	94.32539682539681	87.5	0	0	0
7	0.01933963932653727	84.52984268283384	81.98757763975155	0.047382676818718515	95.1360544217687	89.28571428571429	0	0	0
8	0.01198729535099119	86.46361234747961	84.23913043478261	0.08107728119163464	95.7440476190476	90.625	0	0	0
9	0.01370510790666626	87.96765541998188	85.99033816425121	0.05133107700385153	96.21693121693121	91.66666666666667	0	0	0
10	0.004858134099935262	89.1708898779837	87.3913043478261	0.04013851608760888	96.59523809523809	92.5	0	0	0
