epoch	train_loss	train_f1	train_exact	dev_loss	dev_f1	dev_exact	test_loss	test_f1	test_exact
1	2.611228731663331	31.252927594828208	21.73913043478261	0.4842650070786476	94.44444444444444	83.33333333333333	0	0	0
2	0.2999703989404699	62.43805800031265	56.52173913043478	0.10964340157806873	97.22222222222221	91.66666666666667	0	0	0
3	0.09792663497121437	73.84759422243066	68.84057971014492	0.07698317710310221	98.14814814814814	94.44444444444444	0	0	0
4	0.04174116893630961	79.84221740595342	76.08695652173913	0.04152440124501785	98.6111111111111	95.83333333333333	0	0	0
5	0.021528251302104607	83.2940637798352	80.0	0.05158634406204025	98.88888888888889	96.66666666666667	0	0	0
6	0.030835635251487078	85.98303941988554	82.97101449275362	0.045550863918227456	99.07407407407408	97.22222222222223	0	0	0
7	0.01784976536873728	87.98546235990189	85.40372670807453	0.039415818774917476	99.20634920634919	97.61904761904762	0	0	0
8	0.021399062111690317	89.48727956491415	87.22826086956522	0.048316376361375056	99.30555555555554	97.91666666666667	0	0	0
9	0.015170079048561014	90.65535961325702	88.64734299516908	0.03202198133415853	99.38271604938271	98.14814814814815	0	0	0
10	0.007992609206627569	91.58982365193133	89.78260869565217	0.029788518862915225	99.44444444444443	98.33333333333333	0	0	0
