ingredient	quantity
Lasagne all'uovo	180 g
Pomodorini ciliegino	800 g
Asparagi	500 g
Zucchine	200 g
Melanzane	200 g
Olive nere denocciolate	125 g
Taccole	200 g
Mozzarella da tritare	75 g
Provolone da grattugiare	75 g
Parmigiano Reggiano DOP da grattugiare	50 g
Acciughe sott'olio	6 filetti
Aglio	1 spicchio
Emmentaler da grattugiare	50 g
Fiori di zucca	30 g
Basilico	3 foglie
Sale fino	q.b.
Pepe nero	q.b.
Olio extravergine d'oliva	q.b.
Latte intero	500 g
Fontal	250 g
Noce moscata	q.b.
Sale fino	q.b.
Pepe nero	q.b.
