ingredient	quantity
Riso Carnaroli	350 g
Scalogno	1
Vino bianco	q.b.
Triglie già eviscerate	200 g
Vongole veraci	1 kg
Calamari (già puliti, solo il mantello)	500 g
Gamberi	250 g
Olio extravergine d'oliva	q.b.
Aglio	1 spicchio
Acqua ghiacciata	2 l
Scalogno	60 g
Finocchi	200 g
Pepe nero in grani	3
Basilico	2 fogli
Aglio	2 spicchi
Olio extravergine d'oliva	100 g
Peperoncino fresco	5 g
Basilico	5 foglie
Pepe bianco	1 pizzico
Pomodorini datterini	250 g
Zucchero	1 pizzico
Sale fino	1 pizzico
Acqua	50 g
Aglio	1 spicchio
Prezzemolo (solo foglie)	50 g
Olio extravergine d'oliva delicato	100 g
