ingredient	quantity
Acqua	1,5 l
Carote	2
Cipolle dorate	1
Sedano	1 costa
Coriandolo	1 mazzetto
Sale fino	q.b.
Cosciotto d'agnello	800 g
Prugne secche	250 g
Mandorle pelate	70 g
Cannella in stecche	1
Zafferano	1 bustina
Aglio	2 spicchi
Zenzero fresco (o 1 cucchiaino raso in polvere)	30 g
Curcuma in polvere	5 g
Olio extravergine d'oliva	15 g
Miele millefiori	40 g
Cipolle dorate	200 g
Succo d'arancia	100 ml
Pepe nero	q.b.
Cous cous precotto	280 g
Burro + 1 noce per imburrare	20 g
Peperoncino in polvere	1 pizzico
Cardamomo in polvere	1 g
Anice stellato	1
Semi di finocchio	2 g
Cumino	1 g
Cannella in stecche	1
Scorza di limone	1
Menta fogliolina	qualche
Prezzemolo	1 mazzetto
