ingredient	quantity
Spaghettoni	400 g
Sarde (da pulire)	300 g
Cipollotto fresco	100 g
Aglio rosso	q.b.
Uva passa (nera di Sicilia)	25 g
Pinoli	20 g
Acciughe sott'olio ( in olio extravergine di oliva)	6 filetti
Peperoncino secco	q.b.
Olio extravergine d'oliva	q.b.
Sale fino	q.b.
Finocchietto selvatico	150 g
Acqua	3 l
Zafferano in pistilli	0,5 g
Acqua	200 g
Pangrattato (di grano duro)	150 g
Passata di pomodoro	30 g
Olio extravergine d'oliva	40 g
Aglio (da tritare)	q.b.
Origano (secco)	q.b.
Prezzemolo	q.b.
Peperoncino secco	q.b.
