ingredient	quantity
Fichi secchi piuttosto morbidi	500 g
Uva sultanina	250 g
Uvetta tipo Malaga ( acini grandi, chiari e senza semi)	120 g
Pinoli	120 g
Mandorle pelate	120 g
Nocciole intere spellate	120 g
Gherigli di noci	120 g
Arancia candita	60 g
Cedro candito	60 g
Scorza d'arancia non trattata	1
Scorza di limone non trattato	1
Rum	2 bicchierini
Miele millefiori	70 g
Vino bianco	50 ml
Cannella in polvere raso	1 cucchiaino
Chiodi di garofano macinati mezzo	cucchiaino
Pimento mezzo	cucchiaino
Noce moscata in polvere1/	2 cucchiaino
Farina 00	150 g
Farina di segale	100 g
Olio extravergine d'oliva	1 cucchiaio
Acqua tiepida	150 ml
Lievito di birra fresco	25 g
Sale fino	1 pizzico
Anice in polvere raso	1 cucchiaino
Cumino in polvere	1 cucchiaino
Miele	1 cucchiaino
Mix di frutta secca/essiccata (noci, mandorle, pinoli)	q.b.
Frutta candita (arance, limoni, cedro, ciliegie)	q.b.
Miele (o sciroppo di zucchero)	q.b.
