ingredient	quantity
Lasagne Sottili all'uovo	500 g
Pomodorini ciliegino	500 g
Scampi	12
Aglio	1 spicchio
Origano secco	1 cucchiaino
Zucchero	1 cucchiaino
Timo	q.b.
Sale fino	1 pizzico
Olio extravergine d'oliva	q.b.
Fave pulite	300 g
Pecorino da grattugiare	150 g
Olio extravergine d'oliva	100 g
Menta	4 foglie
Aglio	1 spicchio
Sale fino	1 pizzico
Acqua calda	1,5 l
Vino bianco	100 g
Porri piccolo	1
Prezzemolo	1 ciuffo
Aglio	1 spicchio
Olio extravergine d'oliva	q.b.
Burro	75 g
Farina 00	75 g
Concentrato di pomodoro	1 cucchiaio
Sale fino	1 pizzico
Pepe bianco	q.b.
