ingredient	quantity
Uova	180 g
Farina 00	220 g
Burro	200 g
Zucchero	250 g
Cioccolato fondente	200 g
Latte intero	100 g
Lievito in polvere per dolci	8 g
Acqua	85 g
Zucchero	225 g
Albumi	120 g
Burro (freddo)	280 g
Baccello di vaniglia	1
Zucchero a velo	50 g
Pasta di zucchero	900 g
Coloranti alimentari rosso	q.b.
Colla alimentare	q.b.
Matite alimentari brillanti, color madreperla	q.b.
Zuccheri glitterati	q.b.
Decorazione alimentare perline morbide argentate	q.b.
Zucchero a velo (per spolverizzare)	q.b.
