ingredient	quantity
Peperoncino verde piccante	6
Zenzero fresco 4 cmdi	radice
Scalogno	1
Sale fino	1 cucchiaino
Semi di coriandolo	1 cucchiaino
Semi di cumino	1 cucchiaino
Aglio	2 spicchi
Lemongrass (citronella)	2
Lime (Kaffir lime)	3 foglie
Manzo scamone	400 g
Melanzane lunga	1
Fagiolini	150 g
Aglio	1 spicchio
Zenzero fresco 3 cmdi	radice
Zucchero	1 cucchiaino
Latte di cocco	600 g
Acqua	300 ml
Olio di semi di girasole	2 cucchiai
Peperoncino fresco	1
Coriandolo	1 ciuffo
Salsa di soia (o di pesce Thai)	2 cucchiai
Cipolle	1
