ingredient	quantity
Acqua	200 g
Farina integrale	100 g
Farina 00	50 g
Olio extravergine d'oliva	35
Zucchero grezzo di canna	10 g
Lievito istantaneo per preparazioni salate	6 g
Sale fino	1 pizzico
Rosmarino	1 rametto
Origano	1 rametto
Curcuma in polvere	1 pizzico
Formaggio fresco spalmabile senza lattosio	175 g
Salmone affumicato	25 g
Bresaola	25 g
Mais dolce	10 g
Pomodorini ciliegino	2
Erba cipollina	10 g
Carote	20 g
Pepe nero	q.b.
Lime	2
Acqua tonica	500 g
Limonata	500 g
Zucchero grezzo di canna	40 g
Ghiaccio	q.b.
Menta	10 g
